,lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,b1,b2,b3,sigma,mu[1],mu[2],mu[3],mu[4],mu[5],mu[6],mu[7],mu[8],mu[9],mu[10],mu[11],mu[12],mu[13],mu[14],mu[15],mu[16],mu[17],mu[18],mu[19],mu[20],mu[21],mu[22],mu[23],mu[24],mu[25],mu[26],mu[27],mu[28],mu[29],mu[30]
10,44.949,0.922327,0.621484,3.0,7.0,0.0,-43.8417,-0.00443232,0.824449,0.746643,0.140453,0.639822,0.492342,0.22452,-0.270027,1.2523,0.522891,-0.525931,0.254975,0.902738,-1.19684,0.460046,-0.45299,0.28775,-1.19969,-2.14063,0.0518426,0.501614,1.53542,-0.0282164,-1.16672,0.462641,-0.10036,1.11327,-1.84037,-1.00963,1.72777,-1.04138,-0.959085,0.830905,0.538067
11,45.6522,1.0,0.621484,2.0,3.0,0.0,-44.8721,0.000118411,0.830103,0.764355,0.13926,0.6594,0.50978,0.2124,-0.249446,1.28466,0.525339,-0.541793,0.25654,0.907174,-1.21094,0.476855,-0.447448,0.317342,-1.22097,-2.16333,0.0468812,0.506803,1.57306,-0.0282731,-1.17089,0.483456,-0.112658,1.12541,-1.8608,-1.02895,1.74932,-1.04877,-0.957868,0.846086,0.565171
12,45.5525,0.991038,0.621484,3.0,7.0,0.0,-44.8775,-0.0138072,0.864536,0.80626,0.126661,0.681415,0.524674,0.192507,-0.259267,1.33956,0.528569,-0.591834,0.249391,0.925743,-1.28358,0.490052,-0.476645,0.335233,-1.29982,-2.2772,0.0268792,0.511602,1.64263,-0.0469757,-1.23399,0.500158,-0.144374,1.15811,-1.96195,-1.09932,1.8121,-1.11011,-1.00893,0.871222,0.589937
13,44.0204,0.90614,0.621484,3.0,7.0,0.0,-43.279,-0.00129693,0.832252,0.802226,0.161241,0.689931,0.536707,0.15954,-0.200627,1.34127,0.508984,-0.592602,0.242206,0.890049,-1.24534,0.502533,-0.438429,0.382413,-1.27579,-2.20626,0.0173745,0.49863,1.63993,-0.0424294,-1.17746,0.520521,-0.160514,1.12671,-1.90233,-1.08144,1.76703,-1.06664,-0.952606,0.860832,0.6189
14,44.8442,0.959866,0.621484,3.0,7.0,0.0,-40.0547,-0.00809324,0.880929,0.763588,0.123149,0.651479,0.496961,0.286094,-0.340372,1.28261,0.570889,-0.519583,0.282029,0.978434,-1.25374,0.463561,-0.498428,0.241527,-1.23735,-2.2564,0.0789233,0.540311,1.57604,-0.0214347,-1.24798,0.455499,-0.0666129,1.18637,-1.93616,-1.03602,1.82886,-1.10299,-1.03687,0.871155,0.520412
15,46.0284,0.854173,0.621484,2.0,7.0,0.0,-42.199,0.0188775,0.853692,0.786313,0.127101,0.697094,0.543201,0.236848,-0.237443,1.34028,0.558916,-0.53875,0.282496,0.951591,-1.22679,0.509332,-0.441331,0.345549,-1.23724,-2.20628,0.066783,0.539908,1.63694,-0.0104044,-1.18542,0.516196,-0.0974083,1.17615,-1.89515,-1.03976,1.81788,-1.0599,-0.966272,0.888977,0.600342
16,45.8005,0.942527,0.621484,3.0,7.0,0.0,-44.5068,0.00646647,0.838389,0.759963,0.135536,0.662201,0.512164,0.238283,-0.262633,1.28551,0.54239,-0.52478,0.269997,0.928626,-1.20668,0.4793,-0.449451,0.304861,-1.20998,-2.16654,0.0631463,0.520913,1.5736,-0.0179653,-1.17552,0.482159,-0.0919775,1.14306,-1.8612,-1.01666,1.76824,-1.04829,-0.96415,0.856199,0.559178
17,43.7616,0.784221,0.621484,2.0,3.0,0.0,-40.6791,-0.0260912,0.815216,0.741433,0.121068,0.613604,0.467493,0.195731,-0.284243,1.22137,0.493895,-0.545964,0.229218,0.869334,-1.20777,0.435457,-0.468607,0.268585,-1.21238,-2.14152,0.0270759,0.473579,1.50215,-0.0507214,-1.17555,0.439021,-0.124997,1.07907,-1.84457,-1.02428,1.68799,-1.05264,-0.969248,0.801118,0.515046
18,46.1909,1.0,0.621484,2.0,3.0,0.0,-43.8053,-0.00593925,0.834807,0.781124,0.125641,0.667557,0.515974,0.189529,-0.239288,1.30483,0.51661,-0.567551,0.247229,0.9,-1.2342,0.482459,-0.452025,0.335835,-1.25136,-2.19409,0.0313129,0.500821,1.59817,-0.0388809,-1.18432,0.493038,-0.135346,1.12566,-1.88963,-1.05762,1.75823,-1.06553,-0.966182,0.849664,0.580916
19,45.0377,0.914236,0.621484,3.0,7.0,0.0,-44.8177,-0.00533718,0.832757,0.810267,0.128285,0.692675,0.538681,0.144655,-0.19408,1.34955,0.501823,-0.607101,0.235455,0.882749,-1.25642,0.504241,-0.440294,0.392425,-1.29118,-2.2192,0.00740808,0.493195,1.6504,-0.0491605,-1.18267,0.524632,-0.174364,1.12332,-1.91496,-1.09632,1.76714,-1.07422,-0.955297,0.860256,0.626534
20,45.8027,0.999153,0.621484,3.0,7.0,0.0,-44.447,0.0175217,0.837592,0.762631,0.128672,0.675489,0.525291,0.244206,-0.246515,1.30051,0.551396,-0.517752,0.279518,0.937098,-1.19729,0.492348,-0.436867,0.321836,-1.20251,-2.15681,0.0714825,0.530716,1.58923,-0.00808343,-1.16354,0.496279,-0.0851881,1.15302,-1.8517,-1.00921,1.779,-1.03753,-0.951307,0.867766,0.574779
21,45.6008,0.790837,0.621484,2.0,7.0,0.0,-40.9684,-0.0131937,0.874827,0.780162,0.121899,0.66023,0.504822,0.247284,-0.312177,1.30188,0.551849,-0.550373,0.266645,0.955499,-1.2684,0.470946,-0.49307,0.274696,-1.26455,-2.26781,0.0560346,0.526496,1.59909,-0.034159,-1.24579,0.469865,-0.0994194,1.17287,-1.94941,-1.06349,1.81993,-1.10887,-1.02927,0.868475,0.54435
22,45.7757,0.941488,0.621484,3.0,7.0,0.0,-44.3468,0.00776769,0.863301,0.775276,0.138622,0.676862,0.523019,0.257001,-0.279631,1.31374,0.562916,-0.529545,0.281879,0.960985,-1.23538,0.489414,-0.464044,0.301731,-1.23465,-2.22254,0.0718449,0.539134,1.60846,-0.0148247,-1.2089,0.490056,-0.0842559,1.17817,-1.90824,-1.03596,1.81893,-1.07554,-0.993544,0.879919,0.566032
23,45.7554,0.997903,0.621484,3.0,7.0,0.0,-45.3179,-0.00387154,0.841202,0.78519,0.142162,0.673168,0.520596,0.195872,-0.241726,1.31402,0.523552,-0.567221,0.251962,0.909972,-1.23995,0.486886,-0.453994,0.337012,-1.25615,-2.20687,0.0351733,0.507202,1.60909,-0.0363888,-1.19116,0.496939,-0.131804,1.13641,-1.90011,-1.06102,1.77303,-1.07084,-0.971959,0.857539,0.584612
24,44.4332,0.821203,0.621484,2.0,3.0,0.0,-41.9526,0.0305827,0.848062,0.798334,0.151686,0.718823,0.564403,0.222191,-0.199656,1.3695,0.559246,-0.546374,0.285951,0.948488,-1.22118,0.5302,-0.421033,0.386579,-1.24134,-2.19712,0.0646475,0.544308,1.66876,-0.00457878,-1.16679,0.542469,-0.10706,1.18013,-1.88775,-1.04428,1.82472,-1.04767,-0.94368,0.901642,0.633947
25,45.3446,0.949059,0.621484,3.0,7.0,0.0,-42.5357,-0.0146615,0.837519,0.780071,0.106128,0.657998,0.506245,0.186643,-0.253857,1.2949,0.511216,-0.573297,0.240688,0.896027,-1.24393,0.472737,-0.463356,0.321655,-1.2591,-2.20633,0.0255336,0.494552,1.58823,-0.0464431,-1.19666,0.482213,-0.139872,1.12064,-1.90094,-1.06491,1.75378,-1.07632,-0.978939,0.842323,0.568731
26,44.8741,0.929877,0.621484,3.0,7.0,0.0,-43.8309,0.0153154,0.847063,0.762661,0.152677,0.673483,0.522357,0.257011,-0.263889,1.29972,0.559129,-0.514522,0.283526,0.949614,-1.20609,0.48932,-0.446987,0.307349,-1.20649,-2.17501,0.0766409,0.536245,1.58942,-0.00754645,-1.17859,0.490573,-0.0775071,1.1637,-1.86659,-1.01144,1.79321,-1.04837,-0.966661,0.871829,0.566022
27,44.2698,0.795721,0.621484,2.0,7.0,0.0,-40.2219,-0.00847082,0.855297,0.734819,0.126322,0.626391,0.476955,0.286646,-0.340368,1.23469,0.556639,-0.496318,0.275688,0.952647,-1.21243,0.44474,-0.486655,0.221901,-1.19279,-2.1848,0.0811631,0.525449,1.51785,-0.019112,-1.21189,0.434838,-0.0568647,1.15127,-1.87399,-0.997654,1.77237,-1.069,-1.00899,0.842644,0.494859
28,43.4856,0.987743,0.621484,2.0,3.0,0.0,-42.8431,-0.0158205,0.840896,0.723858,0.129713,0.609541,0.462495,0.272283,-0.340128,1.20856,0.539134,-0.497341,0.26302,0.928404,-1.20068,0.430777,-0.485497,0.213255,-1.18218,-2.15692,0.0711946,0.508792,1.48733,-0.0267807,-1.19906,0.421488,-0.0652145,1.12438,-1.85132,-0.990252,1.73561,-1.05903,-0.99913,0.821513,0.481145
29,44.5575,0.990221,0.621484,3.0,7.0,0.0,-41.7063,0.00176711,0.849355,0.824715,0.129944,0.712258,0.555347,0.157214,-0.193149,1.38107,0.519808,-0.609716,0.248003,0.90841,-1.27283,0.520276,-0.442409,0.404345,-1.30732,-2.25452,0.0161036,0.510618,1.68747,-0.0423293,-1.19893,0.540535,-0.168441,1.15292,-1.94424,-1.10867,1.80887,-1.08777,-0.96756,0.88395,0.643688
30,44.1523,0.966281,0.621484,3.0,7.0,0.0,-42.5452,0.0164006,0.815446,0.761857,0.155271,0.673308,0.525344,0.209002,-0.213167,1.29502,0.527353,-0.530647,0.264132,0.901907,-1.18242,0.492643,-0.419711,0.348143,-1.19852,-2.11985,0.053693,0.511666,1.58124,-0.0153711,-1.13458,0.502612,-0.108525,1.12177,-1.82247,-1.00933,1.73919,-1.01817,-0.921865,0.851712,0.587925
31,43.0149,0.932377,0.621484,3.0,7.0,0.0,-41.215,-0.0308468,0.794332,0.76571,0.129578,0.628917,0.482671,0.122611,-0.221045,1.2506,0.456169,-0.595258,0.201548,0.81987,-1.21824,0.450053,-0.44805,0.335445,-1.24732,-2.13538,-0.0130539,0.446294,1.53567,-0.0701176,-1.15343,0.467232,-0.182855,1.04577,-1.8453,-1.06182,1.65693,-1.04766,-0.938803,0.792016,0.561146
32,43.7857,0.999765,0.621484,3.0,7.0,0.0,-41.2927,-0.00952246,0.899138,0.776542,0.123504,0.6613,0.503841,0.294845,-0.352681,1.30354,0.582712,-0.527801,0.287667,0.99882,-1.27857,0.469843,-0.510907,0.24008,-1.26023,-2.30147,0.081517,0.550853,1.6023,-0.022141,-1.27487,0.460718,-0.0656134,1.20964,-1.97466,-1.05488,1.86425,-1.12597,-1.06029,0.886799,0.525675
33,41.8333,0.753904,0.621484,2.0,3.0,0.0,-38.8451,0.0297891,0.912177,0.795062,0.122493,0.716455,0.556062,0.328054,-0.308055,1.37296,0.627315,-0.505711,0.328541,1.0491,-1.26369,0.521336,-0.476521,0.296292,-1.24922,-2.30266,0.116443,0.596659,1.67797,0.0144256,-1.25433,0.514378,-0.0364488,1.26659,-1.97099,-1.04052,1.93369,-1.10562,-1.03436,0.941934,0.583605
34,44.6443,0.893002,0.621484,2.0,3.0,0.0,-38.5785,-0.00586776,0.82042,0.801761,0.118398,0.684751,0.532725,0.136836,-0.186856,1.33428,0.492191,-0.603394,0.230034,0.867303,-1.24132,0.498681,-0.433252,0.392401,-1.27756,-2.19043,0.00393925,0.484492,1.6316,-0.0502764,-1.16596,0.519879,-0.176888,1.10605,-1.89064,-1.08541,1.74177,-1.06025,-0.940862,0.848264,0.621874
35,44.1455,0.85428,0.621484,2.0,3.0,0.0,-41.6637,-0.0308077,0.836979,0.778768,0.104405,0.640744,0.48916,0.171526,-0.270984,1.27669,0.495094,-0.588013,0.22468,0.879696,-1.25862,0.4557,-0.479471,0.303828,-1.27332,-2.22026,0.00999066,0.478258,1.56962,-0.0622863,-1.21199,0.464916,-0.154909,1.10376,-1.91509,-1.0793,1.73617,-1.09147,-0.994668,0.825313,0.551012
36,41.8155,0.893487,0.621484,3.0,7.0,0.0,-39.1503,-0.00309013,0.857441,0.777577,0.193382,0.667836,0.514359,0.233495,-0.277816,1.30554,0.544856,-0.546869,0.266298,0.939852,-1.24409,0.480736,-0.469257,0.302716,-1.24766,-2.22583,0.0546068,0.522969,1.60027,-0.0281987,-1.21195,0.48377,-0.104214,1.15933,-1.91354,-1.04994,1.79886,-1.08194,-0.995676,0.866086,0.562697
37,43.1346,0.979801,0.621484,2.0,7.0,0.0,-40.8553,-0.0111835,0.874948,0.772965,0.173416,0.656179,0.501405,0.259911,-0.320562,1.29295,0.557254,-0.538671,0.271458,0.961318,-1.26049,0.46776,-0.493486,0.263383,-1.25248,-2.2588,0.0637958,0.530223,1.58825,-0.0295739,-1.24351,0.464366,-0.0880295,1.17508,-1.94048,-1.05177,1.81922,-1.10422,-1.02926,0.867763,0.535513
38,42.5434,0.940338,0.621484,3.0,7.0,0.0,-40.5728,-0.0167823,0.828262,0.816163,0.171276,0.686114,0.532031,0.117525,-0.189949,1.34645,0.482977,-0.629029,0.218825,0.861345,-1.26965,0.497444,-0.446075,0.39762,-1.31006,-2.22897,-0.0121777,0.47675,1.6484,-0.0639934,-1.18837,0.520978,-0.1981,1.10572,-1.9262,-1.11573,1.7503,-1.08383,-0.958995,0.848137,0.627037
39,45.8965,0.952925,0.621484,2.0,7.0,0.0,-41.3884,0.00377873,0.853791,0.799797,0.115037,0.693357,0.538246,0.202375,-0.233587,1.34575,0.537799,-0.571821,0.26236,0.929862,-1.25317,0.503939,-0.452158,0.354989,-1.27124,-2.23504,0.041163,0.521859,1.64599,-0.0302331,-1.20145,0.515046,-0.12974,1.16111,-1.92365,-1.07304,1.80844,-1.08026,-0.978069,0.879193,0.605341
40,45.9554,0.965152,0.621484,3.0,7.0,0.0,-45.2377,-0.000772478,0.852539,0.766964,0.136532,0.661121,0.509074,0.243395,-0.282671,1.29098,0.546842,-0.533196,0.26941,0.939882,-1.22955,0.475844,-0.466266,0.292001,-1.22959,-2.20463,0.0614429,0.523666,1.58238,-0.0235606,-1.20236,0.476907,-0.093388,1.15504,-1.89423,-1.03331,1.78836,-1.0711,-0.989257,0.861034,0.552555
41,45.2479,0.967724,0.621484,3.0,7.0,0.0,-44.9062,-0.0320081,0.834746,0.778148,0.12357,0.63898,0.48767,0.167674,-0.269477,1.27422,0.491829,-0.589676,0.222246,0.875334,-1.25775,0.454252,-0.479004,0.304401,-1.27325,-2.21708,0.00753556,0.475371,1.56676,-0.0639173,-1.21013,0.463905,-0.157652,1.09953,-1.91269,-1.07967,1.73085,-1.0904,-0.992926,0.822397,0.55044
42,45.676,0.932076,0.621484,2.0,3.0,0.0,-43.9292,-0.0173818,0.861079,0.765758,0.13083,0.643653,0.49088,0.242109,-0.314706,1.27376,0.539755,-0.543253,0.258871,0.937167,-1.25108,0.457605,-0.49041,0.262062,-1.24607,-2.23442,0.0524439,0.514309,1.56573,-0.0372609,-1.23048,0.455862,-0.0994957,1.15006,-1.92106,-1.04828,1.78606,-1.09502,-1.01804,0.849597,0.528194
43,43.6711,0.810184,0.621484,3.0,7.0,0.0,-41.0541,0.0159064,0.825376,0.821349,0.13284,0.723119,0.568853,0.138114,-0.145274,1.38662,0.510278,-0.604943,0.247654,0.886934,-1.23927,0.534126,-0.409297,0.443555,-1.28411,-2.19661,0.0141834,0.505914,1.68965,-0.0339741,-1.15207,0.560122,-0.175104,1.13446,-1.89475,-1.09004,1.7801,-1.05049,-0.920975,0.880937,0.669492
44,44.0685,0.984969,0.621484,3.0,7.0,0.0,-42.1012,-0.0131528,0.827824,0.730664,0.126271,0.617702,0.471324,0.244312,-0.306819,1.21972,0.524974,-0.511335,0.25452,0.907309,-1.19461,0.439513,-0.469695,0.2454,-1.18666,-2.13904,0.0583148,0.499245,1.49894,-0.0303162,-1.17907,0.436089,-0.0849985,1.10923,-1.83789,-0.996792,1.7184,-1.04706,-0.97657,0.818194,0.503097
45,45.7104,0.99661,0.621484,3.0,7.0,0.0,-43.4032,0.0255626,0.844231,0.786733,0.122877,0.703959,0.550952,0.227885,-0.214968,1.34624,0.555468,-0.538099,0.282803,0.943343,-1.2139,0.517163,-0.426595,0.365325,-1.22942,-2.18408,0.0657571,0.538765,1.64204,-0.00661866,-1.16593,0.526845,-0.10118,1.16996,-1.87624,-1.03366,1.80834,-1.04476,-0.946338,0.889575,0.614245
46,46.2586,0.998761,0.621484,3.0,7.0,0.0,-45.6078,-0.00991922,0.853421,0.781264,0.129112,0.664038,0.510624,0.214936,-0.272963,1.30375,0.532128,-0.560952,0.255432,0.924913,-1.2512,0.476921,-0.471532,0.307867,-1.25892,-2.22957,0.041744,0.512025,1.59904,-0.0374978,-1.21355,0.482263,-0.119997,1.14701,-1.91862,-1.06174,1.78656,-1.08652,-0.995981,0.858036,0.564182
47,44.8836,0.926257,0.621484,2.0,7.0,0.0,-44.6107,-0.0149198,0.838985,0.740968,0.126246,0.624822,0.476429,0.24536,-0.311904,1.23526,0.530256,-0.520423,0.25619,0.917724,-1.21268,0.444175,-0.477471,0.247947,-1.20488,-2.16992,0.0571558,0.504284,1.51837,-0.0324742,-1.19658,0.440848,-0.0883158,1.12259,-1.8647,-1.01243,1.74016,-1.06294,-0.99121,0.827812,0.508967
48,44.4634,0.950222,0.621484,3.0,7.0,0.0,-42.7702,-0.0266824,0.859261,0.748787,0.140242,0.620021,0.468946,0.254502,-0.345144,1.23834,0.53625,-0.530914,0.254797,0.933576,-1.245,0.436239,-0.503671,0.224081,-1.23128,-2.22367,0.0550646,0.507337,1.52561,-0.0411007,-1.2363,0.429636,-0.0888813,1.13837,-1.91124,-1.03469,1.76671,-1.09617,-1.02914,0.832488,0.494777
49,44.4208,0.969577,0.621484,3.0,7.0,0.0,-42.4514,-0.0075244,0.807889,0.791729,0.134812,0.674411,0.524509,0.129792,-0.182608,1.31553,0.481921,-0.598885,0.223936,0.851195,-1.22595,0.490913,-0.427665,0.388713,-1.26289,-2.16094,0.000392161,0.474848,1.6089,-0.0520363,-1.15003,0.512489,-0.178779,1.08739,-1.86569,-1.07356,1.71432,-1.04665,-0.927673,0.834423,0.613942
50,43.5221,0.928526,0.621484,3.0,7.0,0.0,-40.8846,0.0338911,0.867772,0.800074,0.162368,0.723961,0.567459,0.254309,-0.225533,1.3783,0.582477,-0.533994,0.301557,0.981588,-1.23298,0.533006,-0.433651,0.3674,-1.24405,-2.22876,0.0819636,0.563336,1.68006,0.0038465,-1.19031,0.540234,-0.0853318,1.21024,-1.91249,-1.04327,1.86289,-1.06299,-0.967304,0.91865,0.626131
51,44.162,0.999008,0.621484,3.0,7.0,0.0,-42.8838,0.0327671,0.873826,0.772644,0.149968,0.699838,0.545202,0.302545,-0.275266,1.33624,0.600172,-0.494939,0.314793,1.00369,-1.21549,0.511579,-0.448701,0.308206,-1.20788,-2.21264,0.107124,0.573329,1.63135,0.0141642,-1.19802,0.508401,-0.044841,1.21751,-1.89472,-1.00739,1.8611,-1.05912,-0.983835,0.910848,0.579764
52,43.8448,0.99179,0.621484,3.0,7.0,0.0,-42.3485,0.0139598,0.819433,0.72994,0.138765,0.644049,0.498556,0.259135,-0.267257,1.24451,0.543597,-0.488106,0.27639,0.921728,-1.16108,0.466851,-0.435796,0.282117,-1.15701,-2.09707,0.0794507,0.519661,1.52268,-0.0053879,-1.14053,0.465579,-0.0657491,1.12493,-1.79885,-0.96872,1.73067,-1.01203,-0.937986,0.839481,0.534971
53,43.5689,0.747554,0.621484,3.0,7.0,0.0,-39.217,-0.0141394,0.864638,0.832536,0.148731,0.703222,0.544117,0.154273,-0.222514,1.37929,0.516412,-0.62724,0.239183,0.91235,-1.30584,0.508642,-0.468575,0.382839,-1.33696,-2.304,0.00597301,0.505446,1.68933,-0.0565517,-1.23602,0.527042,-0.178384,1.15777,-1.98826,-1.13509,1.82263,-1.12059,-1.0027,0.881186,0.628833
54,42.8628,0.9842,0.621484,2.0,3.0,0.0,-42.1357,-0.0321728,0.86725,0.8168,0.166776,0.671979,0.514029,0.163186,-0.267049,1.33765,0.508269,-0.622723,0.228821,0.906298,-1.31259,0.479039,-0.493877,0.332616,-1.33344,-2.31069,0.00234576,0.493086,1.64379,-0.0682721,-1.25666,0.491714,-0.173448,1.14338,-1.99431,-1.1319,1.80272,-1.13498,-1.02838,0.858752,0.585446
55,44.5816,0.999587,0.621484,3.0,7.0,0.0,-42.2289,0.0236902,0.840661,0.767844,0.103868,0.686106,0.535141,0.247702,-0.237886,1.31507,0.558423,-0.516779,0.285732,0.94542,-1.19759,0.501999,-0.431583,0.333543,-1.2042,-2.16103,0.075948,0.538222,1.60548,-0.0028622,-1.16184,0.50671,-0.0825053,1.16333,-1.85476,-1.01006,1.7926,-1.03615,-0.948072,0.877991,0.586606
56,44.7341,0.791825,0.621484,2.0,7.0,0.0,-42.0651,-0.00507875,0.847525,0.807202,0.151985,0.690623,0.535461,0.17283,-0.221884,1.34727,0.518993,-0.594203,0.246581,0.907529,-1.26385,0.500975,-0.453381,0.367841,-1.28932,-2.24075,0.0215967,0.506214,1.64883,-0.0435261,-1.20225,0.516206,-0.154686,1.14369,-1.93142,-1.0919,1.79174,-1.08624,-0.976334,0.869079,0.611923
57,43.765,0.957359,0.621484,3.0,7.0,0.0,-42.3995,-0.00409127,0.84884,0.783558,0.171288,0.671715,0.518542,0.210158,-0.256526,1.31242,0.5321,-0.560841,0.25738,0.922458,-1.24411,0.484811,-0.461131,0.323859,-1.25547,-2.21832,0.0421949,0.513592,1.60784,-0.0338116,-1.20164,0.492179,-0.12192,1.14659,-1.90893,-1.05902,1.78538,-1.0774,-0.983204,0.86173,0.576632
58,44.3811,0.984832,0.621484,3.0,7.0,0.0,-42.3599,0.0133572,0.816632,0.792665,0.113117,0.696242,0.545401,0.163216,-0.174442,1.3391,0.511566,-0.574197,0.250211,0.88521,-1.21191,0.51169,-0.413795,0.399919,-1.24491,-2.15572,0.0273589,0.502666,1.63362,-0.0289427,-1.14106,0.531081,-0.149937,1.12017,-1.85741,-1.05392,1.75073,-1.03409,-0.918696,0.861445,0.630133
59,45.4003,1.0,0.621484,3.0,7.0,0.0,-43.434,0.011268,0.852237,0.798268,0.144476,0.69953,0.544708,0.209608,-0.225768,1.35068,0.544349,-0.563186,0.269406,0.935702,-1.24333,0.510466,-0.443862,0.361707,-1.26132,-2.22341,0.0486413,0.528421,1.65036,-0.0226563,-1.19176,0.52153,-0.121914,1.16649,-1.91258,-1.06349,1.81261,-1.07077,-0.96881,0.88506,0.611626
60,41.8537,0.847145,0.621484,2.0,3.0,0.0,-40.6302,-0.0298461,0.848504,0.763938,0.0930314,0.629423,0.478042,0.212291,-0.309554,1.25671,0.514902,-0.560557,0.238829,0.906052,-1.25331,0.44495,-0.492942,0.262646,-1.2537,-2.22388,0.0316,0.491974,1.5469,-0.0527396,-1.22578,0.446198,-0.1228,1.12049,-1.91494,-1.05832,1.75107,-1.09533,-1.0135,0.828116,0.521766
